"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"P15289","ARSA","4.34822","1.55926"
"Q6P996","PDXDC1","5.59802","1.55603"
"Q96HS1","PGAM5","7.28141","1.5555"
"Q9Y2U8","LEMD3","4.46944","1.55469"
"O43427","FIBP","3.19057","1.55387"
"Q7Z7H5","TMED4","6.10667","1.55063"
"P22307","SCP2","8.24644","1.54915"
"Q16836","HADH","7.60979","1.5338"
"P11182","DBT","5.01094","1.53362"
"Q9UJW7","ZNF229","4.9031","1.5325"
"P14927","UQCRB","6.31228","1.52441"
"Q92506","HSD17B8","5.33391","1.52347"
"P18859","ATP5PF","7.58086","1.52294"
"Q9BZF1","OSBPL8","4.51933","1.52289"
"Q5EBL8","PDZD11","3.95459","1.52272"
"Q8NCW5","NAXE","6.71168","1.52236"
"Q8N257","H2BU1","7.57468","1.5205"
"O43252","PAPSS1","4.63457","1.52027"
"Q8N7H5","PAF1","4.12562","1.5189"
"Q96A26","FAM162A","7.83538","1.51483"
"O75438","NDUFB1","5.8598","1.51218"
"P26440","IVD","6.89698","1.50964"
"P05204","HMGN2","4.81801","1.50664"
"Q13217","DNAJC3","5.71484","1.50231"
"Q9UNP9","PPIE","4.20238","1.50188"
"P47985","UQCRFS1","4.61652","1.50127"
"Q9NUL7","DDX28","3.30432","1.50125"
"P35914","HMGCL","4.97463","1.49853"
"Q68D10","SPTY2D1","4.34626","1.49697"
"Q3SY69","ALDH1L2","4.8319","1.49615"
"Q9Y383","LUC7L2","5.35491","1.49569"
"Q12981","BNIP1","4.52714","1.49372"
"Q9Y5K6","CD2AP","5.44035","1.48922"
"Q9H6Q4","CIAO3","2.78134","1.48806"
"Q8N163","CCAR2","6.92222","1.4872"
"Q01415","GALK2","3.76483","1.48679"
"P16104","H2AX","5.99446","1.48176"
"O43633","CHMP2A","4.35505","1.48047"
"Q8N4Y2","CRACR2B","7.90726","1.47987"
"P05413","FABP3","6.41629","1.47986"
"P26583","HMGB2","8.83587","1.47902"
"Q96C90","PPP1R14B","5.24166","1.47861"
"Q9BUH6","PAXX","4.82951","1.47808"
"P10515","DLAT","7.65822","1.47662"
"A1L020","MEX3A","3.56685","1.47649"
"O76031","CLPX","5.24719","1.47641"
"Q8NFV4","ABHD11","6.06748","1.47602"
"P11021","HSPA5","10.9238","1.47528"
"Q9C037","TRIM4","2.60937","1.47519"
"Q96EK6","GNPNAT1","4.21619","1.47415"
"Q3ZCW2","LGALSL","3.12094","1.47376"
"Q9H4B0","OSGEPL1","2.99317","1.47267"
"A6NE01","FAM186A","5.56369","1.47082"
"Q712K3","UBE2R2","3.94062","1.46823"
"Q8WUZ0","BCL7C","3.64681","1.46813"
"P51659","HSD17B4","7.04662","1.4681"
