Uniprot ID,Symbol,Protein Intensity,Prot_Z_Score,read_count,fpkm,tpm,driver gene method_of_action
Q8TEM1,NUP210,6.03887,0.772329,23472,46.84,170.17,
Q15363,TMED2,3.46713,0.771852,38644,164.76,598.58,
Q00765,REEP5,5.70362,0.77143,11626,44.88,163.05,
Q9Y608,LRRFIP2,2.82237,0.770892,3342,5.13,18.64,
Q9NRL2,BAZ1A,5.57838,0.770287,10595,22.47,81.63,
Q99653,CHP1,4.8226,0.769856,10534,43.55,158.22,
Q9NXG6,P4HTM,2.81449,0.769233,3676,7.86,28.56,
O94874,UFL1,5.39927,0.769176,3434,12.35,44.87,
P35232,PHB,9.60265,0.768572,10847,46.15,167.66,
P22090,RPS4Y1,5.67937,0.768112,16991,121.96,443.08,
Q12849,GRSF1,6.34756,0.767869,11218,23.53,85.48,
Q96DG6,CMBL,4.95129,0.767714,4248,20.87,75.82,
Q9UKG9,CROT,2.93478,0.767664,8341,27.36,99.4,
O60238,BNIP3L,2.42097,0.767132,4114,15.6,56.68,
P20339,RAB5A,3.91153,0.76635,3877,16.73,60.78,
Q9Y320,TMX2,4.51976,0.765837,10377,75.44,274.07,
Q8N5G0,SMIM20,3.27202,0.765787,1470,14.89,54.1,
O95900,TRUB2,1.87958,0.765528,3651,9.73,35.35,
O60942,RNGTT,2.50893,0.765451,3123,10.37,37.67,
O95298,NDUFC2,3.65209,0.76525,1892,11.65,42.32,
Q96JJ3,ELMO2,3.51285,0.764938,3026,7.49,27.21,
P12830,CDH1,6.05807,0.764549,28479,75.29,273.53,LoF
O60716,CTNND1,6.27048,0.764278,31371,57.99,210.68,
Q92917,GPKOW,3.84219,0.763642,1584,14.85,53.95,
Q9BZE1,MRPL37,3.87832,0.762658,7204,46.15,167.66,
O60936,NOL3,2.89578,0.762397,1217,6.64,24.12,
P49588,AARS1,6.4296,0.760224,24036,87.26,317.02,
Q86V15,CASZ1,1.78092,0.758896,2740,3.95,14.35,LoF
P25440,BRD2,3.54857,0.758259,18552,41.66,151.35,
Q92734,TFG,5.97545,0.758131,6813,22.28,80.94,LoF
P55809,OXCT1,5.52067,0.757628,7420,28.89,104.96,
Q9BRJ2,MRPL45,4.78066,0.756535,3090,29.59,107.5,
O00186,STXBP3,3.56825,0.756516,3984,11.04,40.11,
Q9H5X1,CIAO2A,3.79348,0.755719,4695,31.59,114.77,
Q7Z5L9,IRF2BP2,3.42116,0.75566,6669,23.05,83.74,
Q9BW85,YJU2,2.68193,0.755138,699,6.83,24.81,
P06454,PTMA,7.87792,0.753196,81011,391.6,1422.69,LoF
Q9UNF1,MAGED2,4.37257,0.752984,4468,24.82,90.17,
P12074,COX6A1,3.01335,0.75284,14660,178.11,647.08,
O00559,EBAG9,3.88174,0.752826,1669,7.4,26.88,
Q07021,C1QBP,7.90304,0.752546,11965,83.67,303.97,
P60981,DSTN,6.17782,0.751474,18293,77.57,281.81,
Q9BVL4,SELENOO,2.32131,0.751065,3144,21.73,78.95,
O75347,TBCA,8.34786,0.751005,7033,37.55,136.42,
Q9HCE1,MOV10,3.11056,0.75022,2986,7.49,27.21,
P51553,IDH3G,5.8547,0.749334,2292,13.77,50.03,
Q96KQ7,EHMT2,3.1659,0.749248,5769,12.92,46.94,
O95983,MBD3,3.49168,0.748757,7281,15.16,55.08,
P19075,TSPAN8,6.40911,0.748506,17607,114.14,414.67,
Q86U86,PBRM1,3.94646,0.748364,10399,17.59,63.9,LoF
P37173,TGFBR2,3.86559,0.748292,222,0.77,2.8,LoF
Q5K4L6,SLC27A3,3.90434,0.746984,3279,9.79,35.57,
P09622,DLD,7.23902,0.746961,16556,51.02,185.36,
Q96DI7,SNRNP40,4.47954,0.746696,4321,18.18,66.05,
Q13753,LAMC2,5.175,0.746534,177,0.44,1.6,
Q15435,PPP1R7,4.47253,0.745867,4403,19.02,69.1,
Q7LBR1,CHMP1B,5.04513,0.744419,3125,16.71,60.71,
O43768,ENSA,4.71262,0.743977,14740,43.82,159.2,
Q9BQ95,ECSIT,2.96059,0.743858,4497,30.98,112.55,
Q9BUT1,BDH2,3.40395,0.743731,1742,8.41,30.55,
Q7Z4S6,KIF21A,2.76643,0.742343,10874,17.56,63.8,
Q7Z4S6,KIF21A,2.76643,0.742343,10874,17.56,63.8,
Q9BXY0,MAK16,3.33362,0.741898,3692,12.44,45.19,
Q13099,IFT88,4.23083,0.741802,2098,5.61,20.38,
O95436,SLC34A2,6.36819,0.741302,2,0.01,0.04,LoF
Q9BV36,MLPH,3.86259,0.741176,21901,47.59,172.9,
Q13619,CUL4A,2.60486,0.740874,11165,23.17,84.18,
Q9UPN6,SCAF8,3.71029,0.740442,4626,13.78,50.06,
P26885,FKBP2,7.33254,0.740075,1592,16.17,58.75,
Q9BU02,THTPA,2.2346,0.739016,768,4.33,15.73,
Q9BVL2,NUP58,3.77673,0.738414,11173,17.51,63.61,
Q8WUB8,PHF10,2.6373,0.737505,7104,20.96,76.15,
Q9BRT2,UQCC2,4.69752,0.736233,3643,12.69,46.1,
Q9UGM3,DMBT1,4.1271,0.736058,0,0.0,0.0,
Q14BN4,SLMAP,3.30831,0.735958,7056,8.14,29.57,
O14578,CIT,2.77732,0.733755,7927,9.78,35.53,
O95140,MFN2,3.58476,0.733424,14738,48.39,175.8,
Q9H0L4,CSTF2T,3.75761,0.733205,5066,20.15,73.21,
Q14318,FKBP8,4.92944,0.733163,6908,38.87,141.22,
P13073,COX4I1,7.70781,0.732804,14920,50.84,184.7,
P55854,SUMO3,1.88938,0.732437,3427,20.48,74.4,
P53618,COPB1,5.16773,0.728547,11568,36.81,133.73,
Q969Q5,RAB24,2.78292,0.728048,712,5.63,20.45,
Q15366,PCBP2,8.14489,0.727765,22950,47.28,171.77,
P49366,DHPS,3.4406,0.727045,4272,23.21,84.32,
Q96HR3,MED30,2.86522,0.727026,648,7.35,26.7,
P09234,SNRPC,5.23336,0.726822,3893,49.78,180.85,
Q16822,PCK2,5.89277,0.726716,4491,17.51,63.61,
Q08345,DDR1,3.70153,0.726688,12802,22.92,83.27,
O43493,TGOLN2,3.93656,0.726259,16470,37.98,137.98,
Q969T9,WBP2,4.04838,0.726253,3931,11.89,43.2,
Q53HV7,SMUG1,1.08638,0.726173,3861,12.66,45.99,
Q9UBW7,ZMYM2,2.01497,0.726107,7323,8.78,31.9,fusion
Q02040,AKAP17A,3.99647,0.725923,2840,11.38,41.34,
Q9Y2W2,WBP11,5.69451,0.725707,12226,37.56,136.46,
P07195,LDHB,9.75076,0.725385,73221,400.82,1456.18,
P47914,RPL29,8.30366,0.725382,30058,256.71,932.63,
Q9Y3T6,R3HCC1,2.17936,0.725046,2558,15.88,57.69,
P61218,POLR2F,4.42578,0.724863,23,0.05,0.18,
Q9Y4F4,TOGARAM1,2.6564,0.724133,1102,1.75,6.36,
Q9Y4F4,TOGARAM1,2.6564,0.724133,1102,1.75,6.36,
Q9Y4F4,TOGARAM1,2.6564,0.724133,1102,1.75,6.36,
O43933,PEX1,3.1707,0.724076,6654,13.84,50.28,
Q8IYB5,SMAP1,2.80921,0.723745,570,2.24,8.14,
P13489,RNH1,6.89338,0.723468,5606,12.41,45.09,
Q9NRX4,PHPT1,3.80147,0.723341,3012,30.51,110.84,
P25398,RPS12,7.00439,0.723051,31960,680.42,2471.97,
P07305,H1-0,8.65705,0.722482,32832,228.72,830.94,
P62851,RPS25,9.22506,0.722236,24355,269.26,978.22,
Q8N2Z9,CENPS,1.79477,0.722179,772,7.25,26.34,
P40939,HADHA,7.46151,0.721413,22316,95.62,347.39,
O75494,SRSF10,6.2723,0.72138,20584,32.71,118.84,
P06730,EIF4E,5.85044,0.720851,8591,9.97,36.22,
Q969H8,MYDGF,6.78047,0.720453,4244,41.3,150.04,
Q86Y07,VRK2,2.28946,0.720004,2675,12.45,45.23,
Q7Z7F0,KHDC4,2.79957,0.718607,7087,20.54,74.62,
Q8WUF5,PPP1R13L,3.54728,0.718333,2260,7.33,26.63,
Q00688,FKBP3,7.00173,0.718324,5199,37.53,136.35,
O94953,KDM4B,1.70428,0.718146,5727,6.35,23.07,
Q9BSD7,NTPCR,4.00859,0.718073,3649,3.76,13.66,
P30085,CMPK1,6.23297,0.717796,8751,37.17,135.04,
Q4V328,GRIPAP1,3.38329,0.717293,5372,12.82,46.58,
Q13618,CUL3,3.69228,0.716031,8236,11.69,42.47,LoF
P08865,RPSA,9.03682,0.715553,80536,334.12,1213.86,
P04899,GNAI2,6.51278,0.715183,12837,27.4,99.54,ambiguous
Q8TDY8,IGDCC4,3.46355,0.714714,64,0.13,0.47,
P28676,GCA,3.8619,0.714708,1187,5.29,19.22,
Q2T9J0,TYSND1,1.84888,0.714594,2658,9.44,34.3,
Q13155,AIMP2,5.02984,0.714398,4200,37.31,135.55,
C9JI98,TMEM238,3.98031,0.714382,34,0.56,2.03,
Q86UE4,MTDH,6.56723,0.713597,16597,42.41,154.08,
Q9H773,DCTPP1,5.41494,0.713543,4568,47.18,171.41,
Q15746,MYLK,4.58111,0.713135,453,0.33,1.2,
Q14156,EFR3A,6.67759,0.712766,2986,7.99,29.03,
P22061,PCMT1,6.44133,0.712645,7095,40.91,148.63,
Q99447,PCYT2,3.5728,0.712528,3701,8.76,31.83,
Q9BZX2,UCK2,3.53067,0.71244,13790,33.33,121.09,
O14802,POLR3A,2.66331,0.711666,4159,7.62,27.68,
O75394,MRPL33,2.73636,0.711283,2102,22.3,81.02,
P54760,EPHB4,2.88644,0.710567,6656,16.89,61.36,
Q9P2R7,SUCLA2,6.08948,0.709632,4198,21.17,76.91,
Q15257,PTPA,4.25747,0.709601,12414,36.04,130.93,
A0MZ66,SHTN1,3.75826,0.709514,5016,9.93,36.08,
P54886,ALDH18A1,6.19149,0.709179,13554,58.77,213.51,
Q16795,NDUFA9,4.73017,0.708519,7114,11.18,40.62,
Q9NX62,BPNT2,4.17652,0.708463,14252,30.65,111.35,
Q9P0J0,NDUFA13,5.77081,0.707462,1468,8.85,32.15,
O94826,TOMM70,6.60407,0.70736,12323,37.35,135.69,
Q12912,IRAG2,5.64578,0.707352,12,0.04,0.15,
P33176,KIF5B,5.70906,0.707065,25390,70.55,256.31,Act
Q9BUN8,DERL1,4.10107,0.706196,5195,11.98,43.52,
Q9Y2X7,GIT1,3.53043,0.706132,6295,18.24,66.27,
Q6NW29,RWDD4,2.81886,0.705872,3270,19.23,69.86,
P09669,COX6C,7.67653,0.704293,5650,30.09,109.32,
Q14678,KANK1,5.08185,0.704136,3234,4.43,16.09,
Q9NR19,ACSS2,2.11088,0.703733,3545,10.75,39.05,
P55263,ADK,3.98217,0.703498,3775,19.36,70.34,
P0C7P0,CISD3,2.94888,0.702756,1915,11.74,42.65,
Q86YS7,C2CD5,2.84877,0.702227,12508,30.22,109.79,
P16220,CREB1,3.1909,0.701655,4824,8.23,29.9,Act
O14625,CXCL11,3.68476,0.70153,0,0.0,0.0,
Q92615,LARP4B,3.83803,0.701425,8004,10.18,36.98,
Q9BYW2,SETD2,2.31269,0.70064,8270,13.48,48.97,LoF
Q8TB36,GDAP1,3.13278,0.699229,2303,9.28,33.71,
A6NDG6,PGP,4.34866,0.698933,2518,15.08,54.79,
P20020,ATP2B1,3.94239,0.698678,9071,15.6,56.68,
Q15542,TAF5,1.53269,0.698488,1277,6.38,23.18,
P78358,CTAG1B,3.88454,0.69832,48,0.78,2.83,
P78358,CTAG1A,3.88454,0.69832,0,0.0,0.0,
Q8IX12,CCAR1,5.40268,0.698315,10494,28.28,102.74,
Q86VP6,CAND1,5.8507,0.69798,25541,30.54,110.95,
Q96G46,DUS3L,3.17789,0.697033,1813,8.13,29.54,
P33121,ACSL1,3.80526,0.695785,2231,5.8,21.07,
Q16576,RBBP7,4.44462,0.695747,13093,28.92,105.07,
O00754,MAN2B1,4.50817,0.695323,2629,7.99,29.03,
Q8IWR0,ZC3H7A,2.53781,0.695268,7692,17.75,64.49,
P19440,GGT1,3.92073,0.695109,2238,8.24,29.94,
O75607,NPM3,4.62113,0.694841,3204,56.38,204.83,
P50897,PPT1,5.57924,0.694,11827,58.42,212.24,
Q14241,ELOA,2.5876,0.693852,7061,21.39,77.71,
Q5T0N5,FNBP1L,2.79439,0.693847,8238,23.2,84.29,
P41227,NAA10,3.75638,0.692682,1854,6.38,23.18,
Q99828,CIB1,3.58012,0.691925,5415,64.68,234.98,
Q3KQZ1,SLC25A35,5.20955,0.691134,954,4.0,14.53,
O00299,CLIC1,8.61242,0.690951,19171,161.2,585.64,
Q6ZVM7,TOM1L2,3.6294,0.690138,3529,7.33,26.63,
Q86VM9,ZC3H18,4.87775,0.68992,5057,9.55,34.7,
P49643,PRIM2,2.68326,0.689662,2186,7.65,27.79,
P35221,CTNNA1,6.57625,0.689524,29207,54.01,196.22,
Q9BW72,HIGD2A,4.04006,0.688467,3861,94.38,342.88,
P17480,UBTF,5.56666,0.688354,11980,27.97,101.62,
Q8NDT2,RBM15B,3.22185,0.687791,7296,17.94,65.18,
Q9BPW8,NIPSNAP1,4.72072,0.687633,9447,50.3,182.74,
P61254,RPL26,3.99592,0.687416,16409,108.39,393.78,
Q9Y2S7,POLDIP2,4.72856,0.687372,7658,58.96,214.2,
Q9Y375,NDUFAF1,2.72434,0.687055,1400,12.77,46.39,
Q9NYB0,TERF2IP,3.80166,0.68595,5616,27.14,98.6,
Q8N4H5,TOMM5,5.33995,0.685824,3515,15.75,57.22,
Q96B18,DACT3,4.09243,0.685775,32,0.1,0.36,
Q9NX40,OCIAD1,6.6853,0.685516,9737,33.73,122.54,
P46778,RPL21,7.08123,0.68446,29438,213.74,776.52,
Q9H0E9,BRD8,2.57474,0.684365,7609,17.63,64.05,
Q52LJ0,FAM98B,3.83897,0.683076,6816,16.25,59.04,
Q15843,NEDD8,6.19668,0.682981,3529,14.86,53.99,
Q96KF7,SMIM8,3.28842,0.68293,949,1.77,6.43,
Q16763,UBE2S,4.17339,0.682794,5734,33.58,122.0,
Q9UNZ5,C19orf53,5.12071,0.682528,2332,32.44,117.86,
O14841,OPLAH,3.02974,0.681416,2272,8.59,31.21,
Q96IJ6,GMPPA,2.57139,0.681078,1140,3.49,12.68,
P61960,UFM1,6.33709,0.680469,6799,25.34,92.06,
Q5SSJ5,HP1BP3,6.59014,0.679973,24249,53.21,193.31,
P49789,FHIT,2.46278,0.679648,624,1.87,6.79,ambiguous
Q14966,ZNF638,4.65595,0.679227,12057,15.78,57.33,
O14681,EI24,4.62182,0.679217,11611,53.29,193.6,
Q9HA77,CARS2,3.67714,0.679031,3673,5.73,20.82,
P98173,FAM3A,2.64901,0.678809,1531,4.9,17.8,
Q9NTJ5,SACM1L,4.32017,0.678664,6183,13.73,49.88,
P43146,DCC,2.20245,0.6777,16,0.02,0.07,LoF
O75449,KATNA1,2.77806,0.677635,1637,11.58,42.07,
O95251,KAT7,2.34038,0.67684,3394,4.72,17.15,
Q11201,ST3GAL1,2.18579,0.676507,8930,16.71,60.71,
O15042,U2SURP,6.74354,0.675416,18275,26.84,97.51,
Q8N1F8,STK11IP,2.12536,0.675395,981,2.81,10.21,
Q9Y6K1,DNMT3A,2.44719,0.675268,3618,4.92,17.87,LoF
P05026,ATP1B1,5.80951,0.67511,3733,20.58,74.77,
Q16850,CYP51A1,3.7683,0.674435,2242,8.99,32.66,
P55265,ADAR,6.49806,0.673904,34324,67.08,243.7,
O95453,PARN,2.80444,0.673064,3512,13.09,47.56,
Q9HC38,GLOD4,5.55143,0.672999,5191,15.13,54.97,
P83881,RPL36A,5.44538,0.672924,6005,24.74,89.88,
Q5VYS8,TUT7,4.85431,0.672433,2487,6.05,21.98,
Q969E8,TSR2,2.85688,0.672004,2530,26.93,97.84,
Q9UMX5,NENF,5.58453,0.671756,798,10.05,36.51,
Q8NHZ8,CDC26,1.7758,0.671388,1473,20.47,74.37,
Q6IQ22,RAB12,2.28302,0.670977,2053,13.59,49.37,
Q92905,COPS5,3.82497,0.669773,5402,11.34,41.2,
Q14CX7,NAA25,2.63891,0.669543,11074,17.85,64.85,
Q9Y2W6,TDRKH,3.21214,0.669462,1564,5.02,18.24,
Q9GZR2,REXO4,3.61096,0.669169,2790,17.17,62.38,
O75127,PTCD1,3.0895,0.668684,2525,7.1,25.79,
Q5VTR2,RNF20,3.46183,0.667908,5189,18.05,65.58,
Q9UI30,TRMT112,6.34367,0.667489,4013,40.33,146.52,
Q6Q4G3,LVRN,3.19317,0.667311,69,0.17,0.62,
P62857,RPS28,7.96466,0.666478,19039,146.72,533.04,
Q9Y282,ERGIC3,4.37284,0.665703,9447,25.66,93.22,
A6NHL2,TUBAL3,4.70134,0.665612,45,0.41,1.49,
Q8WTS6,SETD7,3.09946,0.665098,11856,13.91,50.54,
Q13111,CHAF1A,2.94435,0.664985,7341,27.88,101.29,
Q05D32,CTDSPL2,3.67577,0.6645,5128,8.66,31.46,
O60264,SMARCA5,5.14122,0.6645,15217,29.63,107.65,
Q8NI08,NCOA7,3.51232,0.663937,2138,4.51,16.38,
Q9P0S2,COX16,2.50692,0.662441,3082,27.01,98.13,
Q92804,TAF15,4.91002,0.66243,15120,41.78,151.79,ambiguous
Q86U44,METTL3,2.69049,0.662333,5201,14.41,52.35,
P43034,PAFAH1B1,5.2691,0.662196,10746,21.59,78.44,
P12882,MYH1,5.37755,0.6602,1,0.0,0.0,
Q8NFW8,CMAS,4.08998,0.659828,6971,56.41,204.94,
P51157,RAB28,8.76398,0.659751,1919,14.11,51.26,
Q9BZQ6,EDEM3,2.51597,0.659553,12828,26.84,97.51,
O14657,TOR1B,3.4942,0.659141,2500,14.02,50.93,
Q15022,SUZ12,3.01384,0.658908,7802,19.46,70.7,ambiguous
P35249,RFC4,5.43751,0.657604,5314,28.95,105.18,
P16930,FAH,4.29275,0.657534,2125,4.91,17.84,
Q9NWU2,GID8,2.63087,0.657063,5044,17.82,64.74,
Q9NQ50,MRPL40,4.56558,0.656454,1437,11.94,43.38,
P14854,COX6B1,5.04605,0.655544,6869,119.83,435.34,
Q6ZRP7,QSOX2,4.39697,0.655404,3907,14.08,51.15,
Q8WYA6,CTNNBL1,4.82713,0.654761,2450,9.64,35.02,
Q96L91,EP400,2.49817,0.654698,9530,8.32,30.23,
Q8N4S9,MARVELD2,2.01287,0.654477,4518,15.06,54.71,
Q9Y3B6,EMC9,2.26142,0.653585,1052,10.82,39.31,
Q14542,SLC29A2,2.99576,0.652925,5955,35.75,129.88,
Q6UN15,FIP1L1,5.772,0.652868,3863,8.8,31.97,fusion
P10109,FDX1,4.6466,0.652369,1998,10.18,36.98,
P52815,MRPL12,7.38927,0.652168,1393,22.13,80.4,
P08758,ANXA5,7.77401,0.651821,10833,58.3,211.81,
Q8IZH2,XRN1,2.38359,0.650731,4259,5.8,21.07,
Q4U2R6,MRPL51,2.11381,0.650532,7289,76.74,278.8,
Q86UA1,PRPF39,2.43167,0.650412,4417,14.62,53.11,
Q99729,HNRNPAB,8.31854,0.650336,17322,130.89,475.53,
Q9HBH1,PDF,3.96962,0.650214,110,1.55,5.63,
Q5VWN6,TASOR2,2.36891,0.649918,15887,23.67,85.99,
Q6PH81,C16orf87,3.26775,0.64966,1740,3.82,13.88,
O75554,WBP4,1.75176,0.649464,1379,8.58,31.17,
Q9UN37,VPS4A,4.73683,0.648935,4778,13.76,49.99,
P22626,HNRNPA2B1,10.5376,0.648803,128160,277.52,1008.23,Act
P15848,ARSB,3.16342,0.647356,526,1.19,4.32,
O43488,AKR7A2,3.62009,0.647248,1769,16.22,58.93,
Q96GF1,RNF185,4.14379,0.646707,7193,34.07,123.78,
Q9NP72,RAB18,6.2267,0.646321,6228,16.34,59.36,
P55735,SEC13,4.03233,0.645858,3848,11.54,41.92,
Q12816,TRO,3.73415,0.645572,40,0.1,0.36,
O75937,DNAJC8,5.26827,0.645253,6435,36.38,132.17,
P08708,RPS17,6.99803,0.644843,29751,127.44,462.99,
Q9UQN3,CHMP2B,4.26046,0.644048,6002,31.55,114.62,
Q99715,COL12A1,4.45171,0.643882,143,0.19,0.69,
Q99715,COL12A1,4.45171,0.643882,143,0.19,0.69,
Q99715,COL12A1,4.45171,0.643882,143,0.19,0.69,
Q9Y3B3,TMED7,4.94293,0.643804,9953,41.74,151.64,
Q15181,PPA1,8.19082,0.642891,10923,34.49,125.3,
Q8WXI9,GATAD2B,4.26061,0.642709,6421,14.02,50.93,
Q16540,MRPL23,5.50437,0.641607,326,1.79,6.5,
Q969S9,GFM2,3.56101,0.641429,4464,17.37,63.11,
O95785,WIZ,3.24217,0.640261,2615,5.36,19.47,
P46531,NOTCH1,2.90754,0.640254,2766,4.57,16.6,ambiguous
P46531,NOTCH1,2.90754,0.640254,2766,4.57,16.6,ambiguous
Q6P1N0,CC2D1A,3.7311,0.639464,3408,11.04,40.11,
P55084,HADHB,7.79572,0.639131,7298,27.84,101.14,
Q9P013,CWC15,4.22771,0.638902,2039,12.07,43.85,
O95159,ZFPL1,5.52428,0.638727,566,3.32,12.06,
Q7Z7K0,CMC1,2.34575,0.638632,1023,1.59,5.78,
P40937,RFC5,3.77728,0.637544,7031,35.34,128.39,
O60783,MRPS14,3.63338,0.637273,4284,26.97,97.98,
Q6PJG6,BRAT1,2.76386,0.635626,3737,9.19,33.39,
O75764,TCEA3,2.54685,0.635307,2874,13.35,48.5,
A0A0B4J2F0,PIGBOS1,2.07467,0.635216,377,6.27,22.78,
Q9UMD9,COL17A1,5.47084,0.635199,11,0.03,0.11,
P62875,POLR2L,5.00193,0.635154,2699,38.59,140.2,
Q14157,UBAP2L,5.69874,0.63475,18849,41.02,149.03,
P20933,AGA,3.13625,0.634023,527,3.22,11.7,
Q8IY17,PNPLA6,3.82111,0.633757,4682,10.84,39.38,
Q9BWM7,SFXN3,5.45641,0.633578,6157,21.71,78.87,
Q9BT78,COPS4,5.01836,0.632682,4102,18.78,68.23,
Q8N4Q0,ZADH2,3.13135,0.632482,4368,8.74,31.75,
Q9UBV2,SEL1L,3.90878,0.63071,13898,23.74,86.25,
Q96MC4,CEP295NL,4.79439,0.630108,0,0.0,0.0,
Q9UNK0,STX8,3.23347,0.629969,968,4.18,15.19,
P61353,RPL27,7.06516,0.629806,22523,181.53,659.5,
Q9Y6D9,MAD1L1,3.93095,0.629597,2216,5.0,18.17,
Q99523,SORT1,3.74871,0.629397,6015,11.21,40.73,
Q10472,GALNT1,2.82029,0.629064,6289,20.03,72.77,
O94905,ERLIN2,4.66705,0.629019,6818,11.76,42.72,
O95025,SEMA3D,3.24906,0.628967,91,0.18,0.65,
Q9H6F5,CCDC86,4.48684,0.628158,3217,25.7,93.37,
Q07020,RPL18,7.17123,0.627464,26249,101.84,369.99,
P50416,CPT1A,5.3976,0.626729,9259,23.03,83.67,
Q8IVD9,NUDCD3,3.54009,0.626682,9504,15.35,55.77,
Q9HBK9,AS3MT,2.49393,0.626025,53,0.36,1.31,
Q96B26,EXOSC8,3.76385,0.625907,5862,26.37,95.8,
Q92522,H1-10,6.24707,0.624141,2970,32.18,116.91,
Q86U28,ISCA2,3.73038,0.62375,934,4.98,18.09,
P20839,IMPDH1,4.61581,0.62371,7332,32.69,118.76,
Q9HC52,CBX8,3.53893,0.623275,1194,4.68,17.0,
O15173,PGRMC2,6.78152,0.622584,6016,21.24,77.17,
P13224,GP1BB,3.04808,0.622368,0,0.0,0.0,
P84090,ERH,5.18659,0.621864,6621,74.77,271.64,
O76094,SRP72,4.06735,0.621295,14769,51.34,186.52,
Q15418,RPS6KA1,2.24938,0.621287,3102,8.61,31.28,
Q9H2H8,PPIL3,3.70884,0.620631,1380,7.73,28.08,
Q6PKG0,LARP1,5.56164,0.619997,22244,42.77,155.38,
Q99933,BAG1,3.00664,0.619924,8083,18.56,67.43,
Q93084,ATP2A3,5.52729,0.619291,93,0.22,0.8,
O95171,SCEL,3.78372,0.61866,3,0.01,0.04,
Q14134,TRIM29,6.12093,0.618419,19,0.03,0.11,
Q15054,POLD3,3.08958,0.618168,4550,13.49,49.01,
Q9Y673,ALG5,3.42918,0.617968,2968,22.09,80.25,
Q9HBL7,PLGRKT,3.40526,0.617955,1591,17.4,63.21,
Q9GZZ9,UBA5,3.53028,0.617904,6076,14.53,52.79,
Q9NVM6,DNAJC17,2.76147,0.617098,1003,2.91,10.57,
P25490,YY1,2.43948,0.615912,11479,21.5,78.11,
O43824,GTPBP6,1.83349,0.61578,4886,26.92,97.8,
Q99547,MPHOSPH6,3.45406,0.615591,1284,9.57,34.77,
P08123,COL1A2,6.58963,0.614795,16,0.02,0.07,
Q9H9Q2,COPS7B,3.68171,0.614788,3393,9.13,33.17,
Q13356,PPIL2,1.86848,0.614021,5528,10.7,38.87,
Q9Y6A4,CFAP20,3.36849,0.613052,2534,17.42,63.29,
Q15397,PUM3,4.46363,0.612622,4471,26.97,97.98,
Q9H2G2,SLK,3.69518,0.611792,9245,18.93,68.77,
Q9UEU0,VTI1B,3.84175,0.611412,5272,14.87,54.02,
P11498,PC,5.03468,0.61136,2305,6.35,23.07,
Q9BY43,CHMP4A,3.1012,0.609907,235,1.59,5.78,
Q9Y303,AMDHD2,3.15765,0.609867,678,2.54,9.23,
Q9NWW5,CLN6,2.97017,0.609466,5259,20.33,73.86,
Q9H009,NACA2,4.88768,0.609461,0,0.0,0.0,
Q96E29,MTERF3,2.34296,0.608049,2121,19.23,69.86,
Q14108,SCARB2,5.38471,0.607761,17000,48.83,177.4,
Q96TC7,RMDN3,4.64176,0.607589,3833,12.24,44.47,
Q9BTE7,DCUN1D5,2.49339,0.607218,2446,23.49,85.34,
Q96B36,AKT1S1,3.91052,0.605981,4499,12.81,46.54,
O75251,NDUFS7,4.70461,0.605278,3544,7.68,27.9,
Q8WXF7,ATL1,3.88706,0.605072,1009,3.78,13.73,
P40855,PEX19,3.58821,0.604782,4834,17.69,64.27,
Q9Y3B9,RRP15,4.50634,0.604505,7732,16.02,58.2,
O95772,STARD3NL,3.03331,0.603102,8954,33.63,122.18,
Q6UX06,OLFM4,3.6585,0.602733,0,0.0,0.0,
Q9P0W2,HMG20B,2.26958,0.602541,9446,39.99,145.28,
Q07820,MCL1,2.86402,0.602409,22244,83.1,301.9,
A4D1E9,GTPBP10,2.96378,0.602354,6109,9.56,34.73,
Q8NC51,SERBP1,6.34866,0.602228,33184,70.59,256.45,
P62937,PPIA,10.6873,0.60138,100429,370.02,1344.29,
Q96BK5,PINX1,2.48825,0.601365,720,4.2,15.26,
O75208,COQ9,3.51369,0.601085,4934,18.63,67.68,
P82663,MRPS25,3.31384,0.60072,8398,25.48,92.57,
P53992,SEC24C,3.62116,0.599829,6394,19.8,71.93,
Q9GZU7,CTDSP1,2.35457,0.599741,6339,21.9,79.56,
P08243,ASNS,4.30597,0.598833,20037,73.44,266.81,
P62899,RPL31,8.82015,0.598646,23623,66.61,242.0,
P11137,MAP2,4.45951,0.598278,8439,11.92,43.31,ambiguous
Q9H8M7,MINDY3,2.53696,0.598158,2057,8.2,29.79,
Q7Z2W4,ZC3HAV1,4.87761,0.598151,7057,13.99,50.83,
Q49A26,GLYR1,3.74813,0.597976,10943,32.67,118.69,
Q8N142,ADSS1,2.70854,0.597695,2505,7.08,25.72,
Q5VV41,ARHGEF16,2.92327,0.597558,2789,8.19,29.75,
Q15185,PTGES3,8.12896,0.597473,36993,177.72,645.66,
Q92879,CELF1,5.28657,0.597205,13980,21.86,79.42,
Q8IZP0,ABI1,3.95149,0.595436,4536,17.56,63.8,ambiguous
Q96D53,COQ8B,2.76982,0.595176,1963,5.84,21.22,
O00483,NDUFA4,5.93067,0.594692,19484,89.47,325.05,
Q9NW13,RBM28,4.5685,0.594156,6677,6.87,24.96,
Q9HC84,MUC5B,3.96969,0.593106,16,0.01,0.04,
Q9HC84,MUC5B,3.96969,0.593106,16,0.01,0.04,
