Uniprot ID,Symbol,Protein Intensity,Prot_Z_Score,read_count,fpkm,tpm,driver gene method_of_action
Q5T8D3,ACBD5,4.77265,1.81776,6865,25.65,93.19,
Q9P0U3,SENP1,3.24984,1.81644,5525,14.23,51.7,
O75390,CS,8.64085,1.81433,44127,112.55,408.9,
Q9UKK3,PARP4,4.33939,1.81301,4637,12.45,45.23,ambiguous
Q96B45,BORCS7,4.02211,1.81025,1862,11.23,40.8,
Q86TJ2,TADA2B,2.69431,1.80575,2204,6.23,22.63,
Q96L92,SNX27,4.94157,1.80433,10168,22.24,80.8,
Q9H1K1,ISCU,4.81204,1.78972,5216,19.19,69.72,
P82970,HMGN5,5.60613,1.7857,6188,41.82,151.93,
Q9UK08,GNG8,6.95133,1.77358,0,0.0,0.0,
P10809,HSPD1,11.8846,1.76987,119261,458.76,1666.68,
Q15646,OASL,4.55766,1.76887,8,0.04,0.15,
Q6DJT9,PLAG1,7.15784,1.75639,32,0.07,0.25,Act
P14625,HSP90B1,10.9194,1.75445,190210,662.54,2407.01,
Q9NPD8,UBE2T,4.83413,1.75312,9484,145.41,528.28,
Q9C0B1,FTO,4.43583,1.75066,9403,12.07,43.85,
O75947,ATP5PD,8.60046,1.75029,6549,33.1,120.25,
Q5TH69,ARFGEF3,3.87195,1.7446,31743,34.84,126.57,
Q15773,MLF2,4.85218,1.74444,20485,88.47,321.41,
Q96GW9,MARS2,3.31354,1.74291,5118,27.68,100.56,
P14138,EDN3,5.59443,1.74254,0,0.0,0.0,
Q15051,IQCB1,4.16685,1.73864,2960,15.85,57.58,
Q8TBX8,PIP4K2C,4.43954,1.73774,6729,33.31,121.02,
P30049,ATP5F1D,9.02742,1.73566,2897,21.02,76.37,
Q96A84,EMID1,5.46561,1.73383,179,0.6,2.18,
P05161,ISG15,5.75459,1.72524,2645,45.85,166.57,
Q9H1E3,NUCKS1,7.72493,1.72514,84105,209.8,762.21,
Q13263,TRIM28,8.24539,1.71742,27029,109.41,397.49,
P12694,BCKDHA,5.33049,1.71213,281,1.59,5.78,
Q9NRY2,INIP,2.89332,1.70981,3109,11.48,41.71,
Q6ZMI0,PPP1R21,4.70068,1.70944,863,3.53,12.82,
P30039,PBLD,2.7886,1.70794,8695,27.45,99.73,
Q9H6S0,YTHDC2,3.3537,1.7036,6307,9.52,34.59,
O14523,C2CD2L,2.46645,1.6955,4002,7.09,25.76,
P22033,MMUT,5.21049,1.6895,6635,28.9,104.99,
Q9Y3B7,MRPL11,5.88875,1.68118,3357,21.59,78.44,
Q13884,SNTB1,5.09043,1.68025,1003,2.43,8.83,
O15446,POLR1G,5.60075,1.67078,1985,8.85,32.15,
Q8WWX9,SELENOM,4.0957,1.67018,5250,26.9,97.73,
Q8TC12,RDH11,5.32375,1.66877,14231,42.11,152.99,
P63313,TMSB10,9.01963,1.66863,48115,1584.03,5754.8,
P20962,PTMS,8.78089,1.66309,13868,153.53,557.78,
Q9HCM7,FBRSL1,2.8773,1.66178,5191,9.1,33.06,
Q8TCU6,PREX1,4.94966,1.65536,31,0.07,0.25,
P11310,ACADM,7.54795,1.65308,11254,38.42,139.58,
Q9Y244,POMP,4.45149,1.65289,5544,63.4,230.33,
P61966,AP1S1,3.56615,1.64871,8799,93.36,339.18,
P09417,QDPR,5.06295,1.64526,306,1.63,5.92,
O75382,TRIM3,3.64479,1.64474,4763,11.59,42.11,
Q9BSJ8,ESYT1,7.00392,1.64405,21830,64.89,235.75,
Q9NUJ1,ABHD10,6.47712,1.64405,5973,32.29,117.31,
Q9HCN8,SDF2L1,4.34076,1.64222,1394,20.71,75.24,
Q6UW68,TMEM205,5.45118,1.64212,7983,81.17,294.89,
Q14667,KIAA0100,8.57942,1.64185,20204,35.72,129.77,
P55317,FOXA1,4.01233,1.6306,17878,73.31,266.34,ambiguous
Q9UKU7,ACAD8,3.81253,1.62772,3709,8.44,30.66,
P22059,OSBP,4.62273,1.62186,11570,34.4,124.98,
P23786,CPT2,4.70776,1.62021,3449,16.56,60.16,
Q07954,LRP1,5.50266,1.61971,426,0.33,1.2,
Q9P2D3,HEATR5B,2.57092,1.61712,5353,10.65,38.69,
P45973,CBX5,7.28331,1.61436,54309,58.96,214.2,
Q8WYQ5,DGCR8,3.08459,1.61362,4180,9.33,33.9,LoF
Q9BRQ6,CHCHD6,5.16948,1.61226,1200,7.09,25.76,
P21912,SDHB,7.431,1.61165,6578,43.63,158.51,LoF
P51153,RAB13,4.92416,1.60585,9868,58.57,212.79,
Q6P4F2,FDX2,3.81857,1.60524,169,2.01,7.3,
Q6P4E1,GOLM2,4.73264,1.5992,8218,19.31,70.15,
Q9UMZ2,SYNRG,3.41804,1.59591,4682,5.35,19.44,
B2RXH2,KDM4E,3.43743,1.59588,0,0.0,0.0,
Q6SJ93,FAM111B,3.55119,1.59545,52709,222.8,809.44,
O95178,NDUFB2,5.66571,1.59348,3781,13.88,50.43,
Q03001,DST,4.73229,1.59159,5526,2.18,7.92,
Q9NPJ6,MED4,3.93295,1.59144,2579,17.86,64.89,
Q14746,COG2,3.22083,1.58503,4122,6.15,22.34,
Q5VT52,RPRD2,4.02148,1.5842,7482,13.98,50.79,
P35270,SPR,5.12156,1.58416,3418,37.71,137.0,
Q96EE4,CCDC126,3.39322,1.58316,1156,5.32,19.33,
P16989,YBX3,6.06314,1.57572,15315,29.05,105.54,
O94760,DDAH1,5.46959,1.5753,15967,44.27,160.83,
Q9UGT4,SUSD2,5.67478,1.57356,151,0.47,1.71,Act
P28161,GSTM2,4.22433,1.57262,1101,1.97,7.16,
P37268,FDFT1,6.45666,1.56904,40740,127.88,464.59,
Q9BYC9,MRPL20,3.76514,1.56779,3800,22.26,80.87,
O15382,BCAT2,4.69353,1.56554,5921,21.24,77.17,
O14561,NDUFAB1,4.83288,1.56347,3202,32.68,118.73,
Q9Y3E2,BOLA1,4.31136,1.55973,766,8.56,31.1,
P15289,ARSA,4.34822,1.55926,1842,10.26,37.27,
Q6P996,PDXDC1,5.59802,1.55603,12958,22.49,81.71,
Q96HS1,PGAM5,7.28141,1.5555,10285,42.5,154.4,
Q9Y2U8,LEMD3,4.46944,1.55469,7088,20.81,75.6,
O43427,FIBP,3.19057,1.55387,4839,23.57,85.63,
Q7Z7H5,TMED4,6.10667,1.55063,14044,60.85,221.07,
P22307,SCP2,8.24644,1.54915,10854,21.34,77.53,
Q16836,HADH,7.60979,1.5338,6881,36.78,133.62,
P11182,DBT,5.01094,1.53362,6721,9.71,35.28,
Q9UJW7,ZNF229,4.9031,1.5325,190,0.56,2.03,
P14927,UQCRB,6.31228,1.52441,9771,16.42,59.65,
Q92506,HSD17B8,5.33391,1.52347,1257,17.53,63.69,
P18859,ATP5PF,7.58086,1.52294,5928,47.38,172.13,
Q9BZF1,OSBPL8,4.51933,1.52289,13073,23.21,84.32,
Q5EBL8,PDZD11,3.95459,1.52272,2201,25.8,93.73,
Q8NCW5,NAXE,6.71168,1.52236,7769,65.63,238.43,
Q8N257,H2BU1,7.57468,1.5205,90,0.62,2.25,
O43252,PAPSS1,4.63457,1.52027,13017,61.11,222.01,
Q8N7H5,PAF1,4.12562,1.5189,4496,27.52,99.98,
Q96A26,FAM162A,7.83538,1.51483,6461,27.82,101.07,
O75438,NDUFB1,5.8598,1.51218,1894,13.67,49.66,
P26440,IVD,6.89698,1.50964,13574,33.93,123.27,
P05204,HMGN2,4.81801,1.50664,74746,486.46,1767.31,
Q13217,DNAJC3,5.71484,1.50231,10078,29.43,106.92,
Q9UNP9,PPIE,4.20238,1.50188,2278,4.61,16.75,
