dataset_id,id,model_id,gene_id,read_count,fpkm,tpm,data_source,dataset_name,model_name,symbol
15,97813132,SIDM00499,SIDG09258,1,0.01,0.04,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOLR1
15,97813135,SIDM00499,SIDG09264,4486,30.64,111.32,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,CEP20
15,97813136,SIDM00499,SIDG09265,190,0.96,3.49,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOS
15,97813137,SIDM00499,SIDG09266,69,0.2,0.73,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOSB
15,97813138,SIDM00499,SIDG09267,20,0.17,0.62,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOSL1
15,97813140,SIDM00499,SIDG09269,729,1.66,6.03,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOSL2
15,97813141,SIDM00499,SIDG09271,17878,73.31,266.34,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXA1
15,97813142,SIDM00499,SIDG09272,5,0.03,0.11,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXA2
15,97813143,SIDM00499,SIDG09273,24,0.18,0.65,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXA3
15,97813144,SIDM00499,SIDG09274,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXB1
15,97813146,SIDM00499,SIDG09276,34,0.14,0.51,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXC1
15,97813147,SIDM00499,SIDG09277,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXC2
15,97813150,SIDM00499,SIDG09280,364,2.42,8.79,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXD1
15,97813152,SIDM00499,SIDG09282,37,0.13,0.47,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXD2
15,97813153,SIDM00499,SIDG09283,81,0.53,1.93,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXD2-AS1
15,97813154,SIDM00499,SIDG09284,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXD3
15,97813155,SIDM00499,SIDG09285,2,0.03,0.11,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXD3-AS1
15,97813162,SIDM00499,SIDG09292,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXE1
15,97813164,SIDM00499,SIDG09294,1,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXF1
15,97813165,SIDM00499,SIDG09295,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXF2
15,97813166,SIDM00499,SIDG09296,4,0.01,0.04,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXG1
15,97813171,SIDM00499,SIDG09301,2,0.01,0.04,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXI3
15,97813172,SIDM00499,SIDG09302,3,0.02,0.07,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXJ1
15,97813173,SIDM00499,SIDG09303,3278,8.5,30.88,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXJ2
15,97813174,SIDM00499,SIDG09304,5879,13.93,50.61,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXJ3
15,97813175,SIDM00499,SIDG09305,6556,8.18,29.72,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXK1
15,97813176,SIDM00499,SIDG09306,4950,8.09,29.39,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXK2
15,97813177,SIDM00499,SIDG09307,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXL1
15,97813178,SIDM00499,SIDG09308,98,0.55,2.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXL2
15,97813179,SIDM00499,SIDG09309,122,0.44,1.6,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXL2NB
15,97813180,SIDM00499,SIDG09310,13118,43.72,158.84,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXM1
15,97813181,SIDM00499,SIDG09311,5,0.02,0.07,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXN1
15,97813182,SIDM00499,SIDG09312,2083,6.21,22.56,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXN2
