,source,target,Confidence Value,width
315,PHB,WDR5,0.63,1
316,PHB,DDRGK1,0.63,1
317,PHB,TRIM28,0.63,1
318,PHB,NXF1,0.63,1
319,PHB,ANLN,0.63,1
320,PHB,BRD4,0.73,1
321,PHB,ZC3H18,0.63,1
322,PHB,PLEKHA4,0.63,1
323,PHB,CDC42,0.63,1
324,PHB,KIF14,0.63,1
325,PHB,ELAVL1,0.63,1
326,PHB,HNRNPL,0.63,1
327,PHB,CIT,0.63,1
328,PHB,TRIM25,0.63,1
329,PHB,NR2C2,0.63,1
330,HNRNPL,APEX1,0.88,1
331,HNRNPL,SUMO2,0.79,1
332,HNRNPL,ELAVL1,0.82,1
333,HNRNPL,SUMO1,0.78,1
334,HNRNPL,CUL3,0.72,1
335,HNRNPL,COPS5,0.82,1
336,HNRNPL,LMNA,0.63,1
337,HNRNPL,TRIM25,0.63,1
338,HNRNPL,CFTR,0.78,1
339,HNRNPL,PRC1,0.63,1
340,HNRNPL,DDRGK1,0.63,1
341,HNRNPL,WDR5,0.63,1
342,HNRNPL,ANLN,0.63,1
343,HNRNPL,BRD4,0.63,1
344,HNRNPL,PLEKHA4,0.63,1
345,HNRNPL,ZC3H18,0.63,1
346,HNRNPL,KIF23,0.63,1
347,HNRNPL,KIF14,0.63,1
348,HNRNPL,TRIM28,0.63,1
349,HNRNPL,CIT,0.63,1
350,HNRNPL,NR2C2,0.63,1
351,LMNA,RB1,0.9,1
352,LMNA,GRB2,0.56,1
353,LMNA,CFTR,0.88,1
354,LMNA,SNW1,0.84,1
355,LMNA,CTNNB1,0.73,1
356,LMNA,SUMO1,0.78,1
357,LMNA,SUMO2,0.79,1
358,LMNA,MCM3AP,0.74,1
359,LMNA,TRIM28,0.82,1
360,LMNA,ANLN,0.83,1
361,LMNA,NXF1,0.63,1
362,LMNA,HERC2,0.82,1
363,LMNA,ELAVL1,0.63,1
364,LMNA,TRIM25,0.63,1
365,LMNA,CUL3,0.63,1
366,LMNA,PRC1,0.63,1
367,LMNA,PLEKHA4,0.63,1
368,LMNA,BRD4,0.75,1
369,LMNA,KIF23,0.63,1
370,LMNA,ZC3H18,0.63,1
371,LMNA,DDRGK1,0.63,1
372,LMNA,KIF14,0.63,1
373,LMNA,CIT,0.63,1
374,LMNA,NR2C2,0.63,1
375,ZC3H18,SUMO1,0.56,1
376,ZC3H18,CUL3,0.72,1
377,ZC3H18,NXF1,0.82,1
378,ZC3H18,BRD4,0.83,1
379,ZC3H18,SNW1,0.83,1
380,ZC3H18,ELAVL1,0.72,1
381,ZC3H18,PLEKHA4,0.63,1
382,ZC3H18,KIF14,0.63,1
383,ZC3H18,ANLN,0.63,1
384,ZC3H18,SPEN,0.73,1
385,ZC3H18,PRC1,0.73,1
386,ZC3H18,TRIM28,0.63,1
387,ZC3H18,WDR5,0.63,1
388,ZC3H18,CDC42,0.63,1
389,ZC3H18,KIF23,0.63,1
390,BAX,TRIM25,0.63,1
391,BAX,COPS5,0.63,1
392,USP8,GRB2,0.92,1
393,USP8,KIF23,0.72,1
394,USP8,NAA40,0.63,1
395,USP8,ELAVL1,0.63,1
396,GRB2,BRD4,0.63,1
397,GRB2,SPEN,0.63,1
398,GRB2,CDC42,0.78,1
399,GRB2,ELAVL1,0.63,1
400,GRB2,CUL3,0.72,1
401,GRB2,RB1,0.77,1
402,GRB2,TRIM25,0.63,1
403,GRB2,PLEKHA4,0.63,1
404,PLEKHA4,CIT,0.63,1
405,PLEKHA4,WDR5,0.63,1
406,PLEKHA4,CBFB,0.63,1
407,PLEKHA4,CDC42,0.63,1
408,PLEKHA4,ELAVL1,0.63,1
409,PLEKHA4,CTNNB1,0.63,1
410,PLEKHA4,RB1,0.63,1
411,PLEKHA4,CUL3,0.63,1
412,PLEKHA4,HERC2,0.63,1
413,PLEKHA4,MCM3AP,0.63,1
414,PLEKHA4,TRIM25,0.63,1
415,PLEKHA4,XPO1,0.63,1
416,PLEKHA4,SUMO1,0.63,1
417,PLEKHA4,KIF23,0.63,1
418,PLEKHA4,SNW1,0.63,1
419,PLEKHA4,NXF1,0.63,1
420,PLEKHA4,TRIM28,0.63,1
421,NAA40,TRIM25,0.82,1
422,NAA40,SUMO1,0.63,1
423,NAA40,KIF23,0.63,1
424,NAA40,DDRGK1,0.63,1
425,NAA40,CIT,0.63,1
426,NAA40,SNW1,0.63,1
427,NAA40,TRIM28,0.63,1
428,NAA40,NR2C2,0.63,1
429,KIF14,SUMO1,0.78,1
430,KIF14,PRC1,0.63,1
431,KIF14,ANLN,0.63,1
432,KIF14,DDRGK1,0.63,1
433,KIF14,ELAVL1,0.63,1
434,KIF14,CTNNB1,0.63,1
435,KIF14,KIF23,0.63,1
436,KIF14,XPO1,0.63,1
437,KIF14,CDC42,0.63,1
438,KIF14,TRIM28,0.63,1
439,KIF14,CUL3,0.63,1
440,KIF14,SNW1,0.63,1
441,KIF14,CIT,0.63,1
442,BRD4,SUMO2,0.74,1
443,BRD4,ELAVL1,0.73,1
444,BRD4,COPS5,0.63,1
445,BRD4,CUL3,0.73,1
446,BRD4,TRIM25,0.74,1
447,BRD4,NXF1,0.63,1
448,BRD4,TRIM28,0.74,1
449,BRD4,WDR5,0.73,1
450,BRD4,CDC42,0.63,1
451,BRD4,CBFB,0.63,1
452,BRD4,APEX1,0.63,1
453,BRD4,CTNNB1,0.63,1
454,BRD4,RB1,0.63,1
455,BRD4,XPO1,0.63,1
456,BRD4,SUMO1,0.73,1
457,BRD4,HERC2,0.63,1
458,BRD4,KIF23,0.63,1
459,BRD4,PRC1,0.63,1
460,BRD4,SNW1,0.73,1
461,SNW1,RB1,0.75,1
462,SNW1,ANLN,0.72,1
463,SNW1,TRIM28,0.63,1
464,SNW1,NR2C2,0.82,1
465,SNW1,WDR5,0.72,1
466,SNW1,ELAVL1,0.72,1
467,SNW1,COPS5,0.63,1
468,SNW1,CUL3,0.72,1
469,SNW1,NXF1,0.87,1
470,SNW1,SUMO2,0.56,1
471,SNW1,CIT,0.63,1
472,SNW1,PRC1,0.63,1
