,source,target,Confidence Value,width
304,ZC3H18,KIF14,0.63,1.0
305,ZC3H18,ANLN,0.63,1.0
306,ZC3H18,SPEN,0.73,1.0
307,ZC3H18,PRC1,0.73,1.0
308,ZC3H18,TRIM28,0.63,1.0
309,ZC3H18,STAU1,0.63,1.0
310,ZC3H18,WDR5,0.63,1.0
311,ZC3H18,CDC42,0.63,1.0
312,BAX,TRIM25,0.63,1.0
313,USP8,GRB2,0.92,1.0
314,USP8,SQSTM1,0.7,1.0
315,USP8,NAA40,0.63,1.0
316,USP8,ELAVL1,0.63,1.0
317,GRB2,BRD4,0.63,1.0
318,GRB2,SPEN,0.63,1.0
319,GRB2,CDC42,0.78,1.0
320,GRB2,ELAVL1,0.63,1.0
321,GRB2,CUL3,0.72,1.0
322,GRB2,RB1,0.77,1.0
323,GRB2,RAC1,0.82,1.0
324,GRB2,TRIM25,0.63,1.0
325,GRB2,PLEKHA4,0.63,1.0
326,GRB2,KRAS,0.63,1.0
327,PLEKHA4,CIT,0.63,1.0
328,PLEKHA4,WDR5,0.63,1.0
329,PLEKHA4,CBFB,0.63,1.0
330,PLEKHA4,CDC42,0.63,1.0
331,PLEKHA4,ELAVL1,0.63,1.0
332,PLEKHA4,CTNNB1,0.63,1.0
333,PLEKHA4,MTOR,0.63,
334,PLEKHA4,RAC1,0.63,1.0
335,PLEKHA4,RB1,0.63,1.0
336,PLEKHA4,MOV10,0.63,1.0
337,PLEKHA4,CUL3,0.63,1.0
338,PLEKHA4,HERC2,0.63,1.0
339,PLEKHA4,MCM3AP,0.63,1.0
340,PLEKHA4,TRIM25,0.63,1.0
341,PLEKHA4,XPO1,0.63,1.0
342,PLEKHA4,SUMO1,0.63,1.0
343,PLEKHA4,STAU1,0.63,1.0
344,PLEKHA4,NXF1,0.63,1.0
345,PLEKHA4,TRIM28,0.63,1.0
346,NAA40,TRIM25,0.82,1.0
347,NAA40,SUMO1,0.63,1.0
348,NAA40,STAU1,0.63,1.0
349,NAA40,DDRGK1,0.63,1.0
350,NAA40,CIT,0.63,1.0
351,NAA40,TRIM28,0.63,1.0
352,NAA40,NR2C2,0.63,1.0
353,KIF14,SUMO1,0.78,1.0
354,KIF14,SQSTM1,0.82,1.0
355,KIF14,PRC1,0.63,1.0
356,KIF14,ANLN,0.63,1.0
357,KIF14,DDRGK1,0.63,1.0
358,KIF14,ELAVL1,0.63,1.0
359,KIF14,CTNNB1,0.63,1.0
360,KIF14,MOV10,0.63,1.0
361,KIF14,XPO1,0.63,1.0
362,KIF14,STAU1,0.63,1.0
363,KIF14,CDC42,0.63,1.0
364,KIF14,TRIM28,0.63,1.0
365,KIF14,CUL3,0.63,1.0
366,KIF14,RAC1,0.63,1.0
367,KIF14,CIT,0.63,1.0
368,KRAS,ELAVL1,0.63,1.0
369,KRAS,CTNNB1,0.83,1.0
370,KRAS,RAC1,0.63,1.0
371,KRAS,SQSTM1,0.63,1.0
372,KRAS,TRIM28,0.63,1.0
373,KRAS,CDC42,0.63,1.0
374,KRAS,DDRGK1,0.73,1.0
375,KRAS,CFTR,0.63,1.0
376,KRAS,MTOR,0.83,
377,KRAS,CUL3,0.63,1.0
378,BRD4,SUMO2,0.74,1.0
379,BRD4,ELAVL1,0.73,1.0
380,BRD4,CUL3,0.73,1.0
381,BRD4,TRIM25,0.74,1.0
382,BRD4,NXF1,0.63,1.0
383,BRD4,TRIM28,0.74,1.0
384,BRD4,WDR5,0.73,1.0
385,BRD4,CDC42,0.63,1.0
386,BRD4,CBFB,0.63,1.0
387,BRD4,APEX1,0.63,1.0
388,BRD4,CTNNB1,0.63,1.0
389,BRD4,RB1,0.63,1.0
390,BRD4,STAU1,0.63,1.0
391,BRD4,XPO1,0.63,1.0
392,BRD4,SUMO1,0.73,1.0
393,BRD4,HERC2,0.63,1.0
394,BRD4,PRC1,0.63,1.0
395,NR2C2,TRIM28,0.73,1.0
396,NR2C2,TRIM25,0.63,1.0
397,NR2C2,NXF1,0.63,1.0
398,NR2C2,WDR5,0.63,1.0
399,NR2C2,RAC1,0.68,1.0
400,NR2C2,ELAVL1,0.63,1.0
401,NR2C2,MOV10,0.63,1.0
402,XPO1,ELAVL1,0.82,1.0
403,XPO1,CFTR,0.85,1.0
404,XPO1,SUMO2,0.79,1.0
405,XPO1,NXF1,0.63,1.0
406,XPO1,STAU1,0.73,1.0
407,XPO1,SQSTM1,0.82,1.0
408,XPO1,MCM3AP,0.63,1.0
409,XPO1,WDR5,0.73,1.0
410,XPO1,MTOR,0.63,
411,XPO1,CTNNB1,0.73,1.0
412,XPO1,TRIM25,0.63,1.0
413,XPO1,HERC2,0.63,1.0
414,XPO1,RAC1,0.72,1.0
415,XPO1,SUMO1,0.63,1.0
416,XPO1,DDRGK1,0.63,1.0
417,XPO1,CDC42,0.56,1.0
418,XPO1,CIT,0.63,1.0
419,ELAVL1,STAU1,0.74,1.0
420,ELAVL1,SUMO2,0.73,1.0
421,ELAVL1,CIT,0.73,1.0
422,ELAVL1,CBFB,0.63,1.0
423,ELAVL1,CDC42,0.73,1.0
424,ELAVL1,SUMO1,0.63,1.0
425,ELAVL1,CUL3,0.72,1.0
